Chromosome;Type;Coord1;Coord2;Strand;ID;Name
chr1;miRNA_primary_transcript;151545796;151545891;+;MI0003559;hsa-mir-554
chr1;miRNA_primary_transcript;155195177;155195272;+;MI0003560;hsa-mir-92b
chr1;miRNA_primary_transcript;155346350;155346445;-;MI0003561;hsa-mir-555
chr1;miRNA_primary_transcript;162342546;162342640;+;MI0003562;hsa-mir-556
chr1;miRNA_primary_transcript;168375524;168375621;+;MI0003563;hsa-mir-557
chr2;miRNA_primary_transcript;32532153;32532246;+;MI0003564;hsa-mir-558
chr2;miRNA_primary_transcript;47377675;47377770;+;MI0003565;hsa-mir-559
chr2;miRNA_primary_transcript;188297492;188297588;+;MI0003567;hsa-mir-561
chr2;miRNA_primary_transcript;232172653;232172747;+;MI0003568;hsa-mir-562
chr3;miRNA_primary_transcript;15873771;15873849;+;MI0003569;hsa-mir-563
chr3;miRNA_primary_transcript;44861888;44861981;+;MI0003570;hsa-mir-564
chr3;miRNA_primary_transcript;50173326;50173419;+;MI0003572;hsa-mir-566
chr3;miRNA_primary_transcript;112112801;112112898;+;MI0003573;hsa-mir-567
chr3;miRNA_primary_transcript;114316475;114316569;-;MI0003574;hsa-mir-568
chr3;miRNA_primary_transcript;168551854;168551949;+;MI0003575;hsa-mir-551b
chr3;miRNA_primary_transcript;171106664;171106759;-;MI0003576;hsa-mir-569
chr3;miRNA_primary_transcript;195699401;195699497;+;MI0003577;hsa-mir-570
chr4;miRNA_primary_transcript;350157;350252;+;MI0003578;hsa-mir-571
chr4;miRNA_primary_transcript;11368827;11368921;+;MI0003579;hsa-mir-572
chr4;miRNA_primary_transcript;24520192;24520290;-;MI0003580;hsa-mir-573
chr4;miRNA_primary_transcript;38868032;38868127;+;MI0003581;hsa-mir-574
chr4;miRNA_primary_transcript;82753337;82753430;-;MI0003582;hsa-mir-575
chr4;miRNA_primary_transcript;109488698;109488795;+;MI0003583;hsa-mir-576
chr4;miRNA_primary_transcript;114656759;114656854;+;MI0003584;hsa-mir-577
chr4;miRNA_primary_transcript;165386242;165386337;+;MI0003585;hsa-mir-578
chr5;miRNA_primary_transcript;32394378;32394475;-;MI0003586;hsa-mir-579
chr5;miRNA_primary_transcript;36147892;36147988;-;MI0003587;hsa-mir-580
chr5;miRNA_primary_transcript;53951504;53951599;-;MI0003588;hsa-mir-581
chr5;miRNA_primary_transcript;59703606;59703703;-;MI0003589;hsa-mir-582
chr5;miRNA_primary_transcript;96079138;96079212;+;MI0003590;hsa-mir-583
chr5;miRNA_primary_transcript;149062313;149062409;-;MI0003591;hsa-mir-584
chr5;miRNA_primary_transcript;169263601;169263694;-;MI0003592;hsa-mir-585
chr6;miRNA_primary_transcript;18571784;18571880;+;MI0003593;hsa-mir-548a-1
chr6;miRNA_primary_transcript;45197674;45197770;-;MI0003594;hsa-mir-586
chr6;miRNA_primary_transcript;106784125;106784220;+;MI0003595;hsa-mir-587
chr6;miRNA_primary_transcript;119069047;119069143;-;MI0003596;hsa-mir-548b
chr6;miRNA_primary_transcript;126484631;126484713;+;MI0003597;hsa-mir-588
chr6;miRNA_primary_transcript;135239160;135239256;+;MI0003598;hsa-mir-548a-2
chr7;miRNA_primary_transcript;5495819;5495917;-;MI0003599;hsa-mir-589
chr7;miRNA_primary_transcript;30289794;30289890;+;MI0003600;hsa-mir-550a-1
chr7;miRNA_primary_transcript;32732981;32733077;+;MI0003601;hsa-mir-550a-2
chr7;miRNA_primary_transcript;74191198;74191294;+;MI0003602;hsa-mir-590
chr7;miRNA_primary_transcript;96219662;96219756;-;MI0003603;hsa-mir-591
chr7;miRNA_primary_transcript;127058088;127058184;-;MI0003604;hsa-mir-592
chr7;miRNA_primary_transcript;128081861;128081960;+;MI0003605;hsa-mir-593
chr7;miRNA_primary_transcript;158532718;158532813;-;MI0003607;hsa-mir-595
chr8;miRNA_primary_transcript;1817231;1817307;+;MI0003608;hsa-mir-596
chr8;miRNA_primary_transcript;9741672;9741768;+;MI0003609;hsa-mir-597
chr8;miRNA_primary_transcript;11035206;11035302;-;MI0003610;hsa-mir-598
chr8;miRNA_primary_transcript;99536636;99536730;-;MI0003611;hsa-mir-599
chr8;miRNA_primary_transcript;104484369;104484465;-;MI0003612;hsa-mir-548a-3
chr9;miRNA_primary_transcript;123111546;123111643;-;MI0003613;hsa-mir-600
chr9;miRNA_primary_transcript;123402525;123402603;-;MI0003614;hsa-mir-601
chr9;miRNA_primary_transcript;137838419;137838516;+;MI0003615;hsa-mir-602
chr10;miRNA_primary_transcript;24275685;24275781;+;MI0003616;hsa-mir-603
chr10;miRNA_primary_transcript;29545004;29545097;-;MI0003617;hsa-mir-604
chr10;miRNA_primary_transcript;51299573;51299655;+;MI0003618;hsa-mir-605
chr10;miRNA_primary_transcript;75552458;75552553;+;MI0003619;hsa-mir-606
chr10;miRNA_primary_transcript;96828669;96828764;-;MI0003620;hsa-mir-607
chr10;miRNA_primary_transcript;100974985;100975084;+;MI0003621;hsa-mir-608
chr10;miRNA_primary_transcript;104218789;104218883;-;MI0003622;hsa-mir-609
chr11;miRNA_primary_transcript;28056815;28056910;+;MI0003623;hsa-mir-610
chr11;miRNA_primary_transcript;61792495;61792561;-;MI0003624;hsa-mir-611
chr11;miRNA_primary_transcript;65444458;65444557;+;MI0003625;hsa-mir-612
chr12;miRNA_primary_transcript;12764649;12764743;+;MI0003626;hsa-mir-613
chr12;miRNA_primary_transcript;12915829;12915918;+;MI0003627;hsa-mir-614
chr12;miRNA_primary_transcript;54033950;54034045;+;MI0003628;hsa-mir-615
chr12;miRNA_primary_transcript;57519163;57519259;-;MI0003629;hsa-mir-616
chr12;miRNA_primary_transcript;64622509;64622605;+;MI0003630;hsa-mir-548c
chr12;miRNA_primary_transcript;80832533;80832629;-;MI0003631;hsa-mir-617
chr12;miRNA_primary_transcript;80935736;80935833;-;MI0003632;hsa-mir-618
chr12;miRNA_primary_transcript;108836908;108837006;-;MI0003633;hsa-mir-619
chr12;miRNA_primary_transcript;116148560;116148654;-;MI0003634;hsa-mir-620
chr13;miRNA_primary_transcript;40810766;40810861;+;MI0003635;hsa-mir-621
chr13;miRNA_primary_transcript;90231182;90231277;+;MI0003636;hsa-mir-622
chr13;miRNA_primary_transcript;99356131;99356228;+;MI0003637;hsa-mir-623
chr14;miRNA_primary_transcript;31014646;31014742;-;MI0003638;hsa-mir-624
chr14;miRNA_primary_transcript;65471102;65471186;+;MI0003639;hsa-mir-625
chr15;miRNA_primary_transcript;41691585;41691678;+;MI0003640;hsa-mir-626
chr15;miRNA_primary_transcript;42199570;42199666;-;MI0003641;hsa-mir-627
chr15;miRNA_primary_transcript;55372940;55373034;-;MI0003642;hsa-mir-628
chr15;miRNA_primary_transcript;70079372;70079468;-;MI0003643;hsa-mir-629
chr15;miRNA_primary_transcript;72587217;72587313;+;MI0003644;hsa-mir-630
chr15;miRNA_primary_transcript;75353611;75353685;-;MI0003645;hsa-mir-631
chr17;miRNA_primary_transcript;17813836;17813931;-;MI0003646;hsa-mir-33b
chr17;miRNA_primary_transcript;32350109;32350202;+;MI0003647;hsa-mir-632
chr17;miRNA_primary_transcript;62944215;62944312;+;MI0003648;hsa-mir-633
chr17;miRNA_primary_transcript;66787072;66787168;+;MI0003649;hsa-mir-634
chr17;miRNA_primary_transcript;68424451;68424548;-;MI0003650;hsa-mir-635
chr17;miRNA_primary_transcript;76736450;76736548;-;MI0003651;hsa-mir-636
chr19;miRNA_primary_transcript;3961414;3961512;-;MI0003652;hsa-mir-637
chr19;miRNA_primary_transcript;10718404;10718503;+;MI0003653;hsa-mir-638
chr19;miRNA_primary_transcript;14529543;14529640;+;MI0003654;hsa-mir-639
chr19;miRNA_primary_transcript;19435063;19435158;+;MI0003655;hsa-mir-640
chr19;miRNA_primary_transcript;40282543;40282641;-;MI0003656;hsa-mir-641
chr19;miRNA_primary_transcript;45674928;45675024;+;MI0003657;hsa-mir-642a
chr19;miRNA_primary_transcript;52281797;52281893;+;MI0003658;hsa-mir-643
chr20;miRNA_primary_transcript;34466325;34466418;+;MI0003659;hsa-mir-644a
chr20;miRNA_primary_transcript;50585786;50585879;+;MI0003660;hsa-mir-645
chr20;miRNA_primary_transcript;60308474;60308567;+;MI0003661;hsa-mir-646
chr20;miRNA_primary_transcript;63942631;63942726;-;MI0003662;hsa-mir-647
chr22;miRNA_primary_transcript;17980868;17980961;-;MI0003663;hsa-mir-648
chr22;miRNA_primary_transcript;21034176;21034272;-;MI0003664;hsa-mir-649
chr22;miRNA_primary_transcript;22822776;22822871;+;MI0003665;hsa-mir-650
chrX;miRNA_primary_transcript;8126965;8127061;+;MI0003666;hsa-mir-651
chrX;miRNA_primary_transcript;110055329;110055426;+;MI0003667;hsa-mir-652
chr8;miRNA_primary_transcript;123348034;123348130;-;MI0003668;hsa-mir-548d-1
chr8;miRNA_primary_transcript;143945191;143945279;-;MI0003669;hsa-mir-661
chr16;miRNA_primary_transcript;770183;770277;+;MI0003670;hsa-mir-662
chr17;miRNA_primary_transcript;67471489;67471585;-;MI0003671;hsa-mir-548d-2
chr20;miRNA_primary_transcript;26208186;26208278;-;MI0003672;hsa-mir-663a
chr5;miRNA_primary_transcript;55170646;55170742;-;MI0003673;hsa-mir-449b
chr7;miRNA_primary_transcript;93482760;93482855;-;MI0003674;hsa-mir-653
chr14;miRNA_primary_transcript;101023325;101023420;+;MI0003675;hsa-mir-411
chr14;miRNA_primary_transcript;101040219;101040299;+;MI0003676;hsa-mir-654
chr14;miRNA_primary_transcript;101049550;101049646;+;MI0003677;hsa-mir-655
chr14;miRNA_primary_transcript;101066724;101066801;+;MI0003678;hsa-mir-656
chr15;miRNA_primary_transcript;80841978;80842073;-;MI0003679;hsa-mir-549a
chr17;miRNA_primary_transcript;81125276;81125373;-;MI0003681;hsa-mir-657
chr22;miRNA_primary_transcript;37844272;37844371;-;MI0003682;hsa-mir-658
chr22;miRNA_primary_transcript;37847678;37847774;-;MI0003683;hsa-mir-659
chrX;miRNA_primary_transcript;50013241;50013337;+;MI0003684;hsa-mir-660
chrX;miRNA_primary_transcript;74218377;74218461;-;MI0003685;hsa-mir-421
chrX;miRNA_primary_transcript;134541341;134541437;-;MI0003686;hsa-mir-542
chr14;miRNA_primary_transcript;101026020;101026107;+;MI0003757;hsa-mir-758
chrX;miRNA_primary_transcript;114652655;114652723;+;MI0003758;hsa-mir-1264
chr7;miRNA_primary_transcript;151238421;151238538;+;MI0003760;hsa-mir-671
chr14;miRNA_primary_transcript;101055258;101055323;+;MI0003761;hsa-mir-668
chr7;miRNA_primary_transcript;29680734;29680828;-;MI0003762;hsa-mir-550a-3
chrX;miRNA_primary_transcript;152393421;152393529;-;MI0003763;hsa-mir-767
chr3;miRNA_primary_transcript;184241405;184241489;+;MI0003764;hsa-mir-1224
chr14;miRNA_primary_transcript;100109419;100109514;-;MI0003772;hsa-mir-151b
chr1;miRNA_primary_transcript;116671749;116671827;+;MI0003776;hsa-mir-320b-1
chr18;miRNA_primary_transcript;21683510;21683597;+;MI0003778;hsa-mir-320c-1
chr10;miRNA_primary_transcript;63372957;63373048;-;MI0003780;hsa-mir-1296
chrX;miRNA_primary_transcript;63786002;63786087;-;MI0003782;hsa-mir-1468
chr19;miRNA_primary_transcript;53671968;53672040;+;MI0003786;hsa-mir-1323
chr5;miRNA_primary_transcript;176367946;176368031;+;MI0003814;hsa-mir-1271
chr2;miRNA_primary_transcript;25328640;25328721;-;MI0003815;hsa-mir-1301
chr17;miRNA_primary_transcript;59137758;59137872;-;MI0003820;hsa-mir-454
chr14;miRNA_primary_transcript;101044198;101044283;+;MI0003821;hsa-mir-1185-2
chr5;miRNA_primary_transcript;55172262;55172353;-;MI0003823;hsa-mir-449c
chr19;miRNA_primary_transcript;53688481;53688567;+;MI0003832;hsa-mir-1283-1
chr19;miRNA_primary_transcript;46018932;46019049;+;MI0003834;hsa-mir-769
chrX;miRNA_primary_transcript;119646738;119646848;-;MI0003836;hsa-mir-766
chr1;miRNA_primary_transcript;224257004;224257141;-;MI0003839;hsa-mir-320b-2
chr8;miRNA_primary_transcript;93916022;93916119;-;MI0003840;hsa-mir-378d-2
chr14;miRNA_primary_transcript;101042977;101043062;+;MI0003844;hsa-mir-1185-1
chr16;miRNA_primary_transcript;30893903;30893985;+;MI0003892;hsa-mir-762
chr21;miRNA_primary_transcript;35720715;35720808;+;MI0003906;hsa-mir-802
chr11;miRNA_primary_transcript;43559656;43559753;+;MI0003933;hsa-mir-670
chrX;miRNA_primary_transcript;114715233;114715344;+;MI0003938;hsa-mir-1298
chr6;miRNA_primary_transcript;98024531;98024621;+;MI0003939;hsa-mir-2113
chr1;miRNA_primary_transcript;51836344;51836402;-;MI0003941;hsa-mir-761
chrX;miRNA_primary_transcript;114639435;114639519;+;MI0003944;hsa-mir-764
chr13;miRNA_primary_transcript;52810050;52810140;+;MI0004065;hsa-mir-759
chr1;miRNA_primary_transcript;156936131;156936244;-;MI0005116;hsa-mir-765
chr14;miRNA_primary_transcript;100852390;100852487;+;MI0005118;hsa-mir-770
chr11;miRNA_primary_transcript;1996759;1996831;-;MI0005416;hsa-mir-675
chr20;miRNA_primary_transcript;58818226;58818313;-;MI0005523;hsa-mir-298
chrX;miRNA_primary_transcript;146027794;146027872;-;MI0005524;hsa-mir-891a
chr14;miRNA_primary_transcript;101041363;101041445;+;MI0005525;hsa-mir-300
chrX;miRNA_primary_transcript;145996669;145996743;-;MI0005528;hsa-mir-892a
chrX;miRNA_primary_transcript;147258760;147258850;-;MI0005530;hsa-mir-509-2
chrX;miRNA_primary_transcript;134540185;134540262;-;MI0005531;hsa-mir-450b
chr5;miRNA_primary_transcript;137647572;137647649;-;MI0005532;hsa-mir-874
chrX;miRNA_primary_transcript;145994275;145994351;-;MI0005533;hsa-mir-890
chrX;miRNA_primary_transcript;146001053;146001131;-;MI0005534;hsa-mir-891b
chrX;miRNA_primary_transcript;145994784;145994860;-;MI0005537;hsa-mir-888
chrX;miRNA_primary_transcript;145997198;145997274;-;MI0005538;hsa-mir-892b
chr14;miRNA_primary_transcript;101064495;101064578;+;MI0005539;hsa-mir-541
chr14;miRNA_primary_transcript;101047901;101047979;+;MI0005540;hsa-mir-889
chr8;miRNA_primary_transcript;99536786;99536861;-;MI0005541;hsa-mir-875
chr9;miRNA_primary_transcript;28863626;28863706;-;MI0005542;hsa-mir-876
chr11;miRNA_primary_transcript;79402022;79402109;-;MI0005543;hsa-mir-708
chr15;miRNA_primary_transcript;45433050;45433129;+;MI0005544;hsa-mir-147b
chr1;miRNA_primary_transcript;154193665;154193743;-;MI0005545;hsa-mir-190b
chr17;miRNA_primary_transcript;12081899;12081996;+;MI0005559;hsa-mir-744
chr3;miRNA_primary_transcript;10394489;10394562;-;MI0005560;hsa-mir-885
chr6;miRNA_primary_transcript;30584332;30584417;+;MI0005561;hsa-mir-877
chr5;miRNA_primary_transcript;15935182;15935260;+;MI0005562;hsa-mir-887
chr14;miRNA_primary_transcript;100875033;100875104;+;MI0005563;hsa-mir-665
chr9;miRNA_primary_transcript;28888879;28888955;-;MI0005564;hsa-mir-873
chr14;miRNA_primary_transcript;101031987;101032064;+;MI0005565;hsa-mir-543
chrX;miRNA_primary_transcript;74218547;74218618;-;MI0005566;hsa-mir-374b
chr1;miRNA_primary_transcript;93846832;93846911;+;MI0005567;hsa-mir-760
chr22;miRNA_primary_transcript;21652981;21653058;+;MI0005568;hsa-mir-301b
chr2;miRNA_primary_transcript;56000714;56000795;-;MI0005569;hsa-mir-216b
chr14;miRNA_primary_transcript;23417987;23418063;-;MI0005570;hsa-mir-208b
chr12;miRNA_primary_transcript;24212421;24212495;+;MI0005712;hsa-mir-920
chr1;miRNA_primary_transcript;166154743;166154798;-;MI0005713;hsa-mir-921
chr3;miRNA_primary_transcript;197674496;197674576;-;MI0005714;hsa-mir-922
chr18;miRNA_primary_transcript;39622123;39622175;-;MI0005716;hsa-mir-924
chrX;miRNA_primary_transcript;147259652;147259726;-;MI0005717;hsa-mir-509-3
chr2;miRNA_primary_transcript;175167633;175167709;-;MI0005755;hsa-mir-933
chrX;miRNA_primary_transcript;136550878;136550960;+;MI0005756;hsa-mir-934
chr19;miRNA_primary_transcript;53982307;53982397;+;MI0005757;hsa-mir-935
chr10;miRNA_primary_transcript;104048089;104048186;-;MI0005758;hsa-mir-936
chr8;miRNA_primary_transcript;143812957;143813042;-;MI0005759;hsa-mir-937
chr10;miRNA_primary_transcript;29602264;29602346;-;MI0005760;hsa-mir-938
chr8;miRNA_primary_transcript;144394149;144394230;-;MI0005761;hsa-mir-939
chr16;miRNA_primary_transcript;2271747;2271840;+;MI0005762;hsa-mir-940
chr20;miRNA_primary_transcript;63919449;63919520;+;MI0005763;hsa-mir-941-1
chr20;miRNA_primary_transcript;63919505;63919576;+;MI0005764;hsa-mir-941-2
chr20;miRNA_primary_transcript;63919561;63919632;+;MI0005765;hsa-mir-941-3
chr20;miRNA_primary_transcript;63919756;63919827;+;MI0005766;hsa-mir-941-4
chr1;miRNA_primary_transcript;117094643;117094728;+;MI0005767;hsa-mir-942
chr4;miRNA_primary_transcript;1986384;1986477;-;MI0005768;hsa-mir-943
chr3;miRNA_primary_transcript;189829922;189830009;+;MI0005769;hsa-mir-944
chr4;miRNA_primary_transcript;110860582;110860647;-;MI0005775;hsa-mir-297
chr12;miRNA_primary_transcript;119713634;119713724;-;MI0006271;hsa-mir-1178
chr15;miRNA_primary_transcript;88608107;88608197;+;MI0006272;hsa-mir-1179
chr17;miRNA_primary_transcript;19344506;19344574;-;MI0006273;hsa-mir-1180
chr19;miRNA_primary_transcript;10403458;10403538;-;MI0006274;hsa-mir-1181
chr1;miRNA_primary_transcript;231019828;231019924;-;MI0006275;hsa-mir-1182
chr7;miRNA_primary_transcript;21471058;21471146;+;MI0006276;hsa-mir-1183
chrX;miRNA_primary_transcript;154887360;154887458;-;MI0006277;hsa-mir-1184-1
chr16;miRNA_primary_transcript;2090195;2090284;-;MI0006311;hsa-mir-1225
chr3;miRNA_primary_transcript;47849555;47849629;+;MI0006313;hsa-mir-1226
chr19;miRNA_primary_transcript;2234062;2234149;-;MI0006316;hsa-mir-1227
chr12;miRNA_primary_transcript;57194504;57194576;+;MI0006318;hsa-mir-1228
chr5;miRNA_primary_transcript;179798278;179798346;-;MI0006319;hsa-mir-1229
chr1;miRNA_primary_transcript;201808611;201808702;+;MI0006321;hsa-mir-1231
chr15;miRNA_primary_transcript;34382069;34382150;-;MI0006323;hsa-mir-1233-1
chr8;miRNA_primary_transcript;144400086;144400165;-;MI0006324;hsa-mir-1234
chr6;miRNA_primary_transcript;31956839;31956940;-;MI0006326;hsa-mir-1236
chr11;miRNA_primary_transcript;64368602;64368703;+;MI0006327;hsa-mir-1237
chr19;miRNA_primary_transcript;10552122;10552204;+;MI0006328;hsa-mir-1238
chr7;miRNA_primary_transcript;36919357;36919432;-;MI0006332;hsa-mir-1200
chr6;miRNA_primary_transcript;155946797;155946879;+;MI0006334;hsa-mir-1202
chr17;miRNA_primary_transcript;48156427;48156511;-;MI0006335;hsa-mir-1203
chr2;miRNA_primary_transcript;132256966;132257080;-;MI0006336;hsa-mir-663b
chr8;miRNA_primary_transcript;127795962;127796028;+;MI0006337;hsa-mir-1204
chr8;miRNA_primary_transcript;127960633;127960695;+;MI0006338;hsa-mir-1205
chr8;miRNA_primary_transcript;128008898;128008956;+;MI0006339;hsa-mir-1206
chr8;miRNA_primary_transcript;128049152;128049238;+;MI0006340;hsa-mir-1207
chr8;miRNA_primary_transcript;128150116;128150188;+;MI0006341;hsa-mir-1208
chr10;miRNA_primary_transcript;110988926;110989013;+;MI0006344;hsa-mir-548e
chr22;miRNA_primary_transcript;26555212;26555323;-;MI0006345;hsa-mir-548j
chr7;miRNA_primary_transcript;92204015;92204098;-;MI0006346;hsa-mir-1285-1
chr2;miRNA_primary_transcript;70252918;70253005;-;MI0006347;hsa-mir-1285-2
chr22;miRNA_primary_transcript;20249134;20249211;-;MI0006348;hsa-mir-1286
chr10;miRNA_primary_transcript;98395218;98395307;-;MI0006349;hsa-mir-1287
chr20;miRNA_primary_transcript;35453954;35454097;-;MI0006350;hsa-mir-1289-1
chr5;miRNA_primary_transcript;133427596;133427706;-;MI0006351;hsa-mir-1289-2
chr1;miRNA_primary_transcript;18897071;18897148;-;MI0006352;hsa-mir-1290
chr12;miRNA_primary_transcript;48654444;48654530;-;MI0006353;hsa-mir-1291
chr11;miRNA_primary_transcript;70283955;70284070;+;MI0006354;hsa-mir-548k
chr12;miRNA_primary_transcript;50234142;50234212;-;MI0006355;hsa-mir-1293
chr5;miRNA_primary_transcript;154347106;154347247;+;MI0006356;hsa-mir-1294
chr1;miRNA_primary_transcript;171101728;171101806;-;MI0006357;hsa-mir-1295a
chr13;miRNA_primary_transcript;54311972;54312048;-;MI0006358;hsa-mir-1297
chr9;miRNA_primary_transcript;40929010;40929092;-;MI0006359;hsa-mir-1299
chr11;miRNA_primary_transcript;94466495;94466580;-;MI0006361;hsa-mir-548l
chr12;miRNA_primary_transcript;112695034;112695176;-;MI0006362;hsa-mir-1302-1
chr1;miRNA_primary_transcript;30366;30503;+;MI0006363;hsa-mir-1302-2
chr2;miRNA_primary_transcript;113582959;113583096;-;MI0006364;hsa-mir-1302-3
chr2;miRNA_primary_transcript;207269275;207269424;-;MI0006365;hsa-mir-1302-4
chr20;miRNA_primary_transcript;50614636;50614785;-;MI0006366;hsa-mir-1302-5
chr7;miRNA_primary_transcript;18127220;18127309;-;MI0006367;hsa-mir-1302-6
chr8;miRNA_primary_transcript;141786242;141786313;-;MI0006368;hsa-mir-1302-7
chr9;miRNA_primary_transcript;97363554;97363681;-;MI0006369;hsa-mir-1302-8
chr5;miRNA_primary_transcript;154685776;154685861;+;MI0006370;hsa-mir-1303
chr11;miRNA_primary_transcript;93733674;93733764;-;MI0006371;hsa-mir-1304
chr4;miRNA_primary_transcript;182169293;182169378;+;MI0006372;hsa-mir-1305
chr4;miRNA_primary_transcript;113106863;113106955;+;MI0006373;hsa-mir-1243
chr10;miRNA_primary_transcript;54607874;54607957;-;MI0006374;hsa-mir-548f-1
chr2;miRNA_primary_transcript;212426263;212426360;-;MI0006375;hsa-mir-548f-2
chr5;miRNA_primary_transcript;110513829;110513915;-;MI0006376;hsa-mir-548f-3
chr7;miRNA_primary_transcript;147378017;147378121;-;MI0006377;hsa-mir-548f-4
chrX;miRNA_primary_transcript;32641474;32641559;-;MI0006378;hsa-mir-548f-5
chr2;miRNA_primary_transcript;231713314;231713398;+;MI0006379;hsa-mir-1244-1
chr2;miRNA_primary_transcript;188978092;188978161;+;MI0006380;hsa-mir-1245a
chr2;miRNA_primary_transcript;176600980;176601052;-;MI0006381;hsa-mir-1246
chr14;miRNA_primary_transcript;101560287;101560422;-;MI0006382;hsa-mir-1247
chr3;miRNA_primary_transcript;186786672;186786777;+;MI0006383;hsa-mir-1248
chr22;miRNA_primary_transcript;45200954;45201019;-;MI0006384;hsa-mir-1249
chr17;miRNA_primary_transcript;81133196;81133308;-;MI0006385;hsa-mir-1250
chr12;miRNA_primary_transcript;97491909;97491978;+;MI0006386;hsa-mir-1251
chr17;miRNA_primary_transcript;2748078;2748182;-;MI0006387;hsa-mir-1253
chr10;miRNA_primary_transcript;68759318;68759414;+;MI0006388;hsa-mir-1254-1
chr4;miRNA_primary_transcript;101330302;101330414;-;MI0006389;hsa-mir-1255a
chr1;miRNA_primary_transcript;20988314;20988432;-;MI0006390;hsa-mir-1256
chr20;miRNA_primary_transcript;61953546;61953662;-;MI0006391;hsa-mir-1257
chr2;miRNA_primary_transcript;179860836;179860908;-;MI0006392;hsa-mir-1258
chr14;miRNA_primary_transcript;77266218;77266290;+;MI0006394;hsa-mir-1260a
chr4;miRNA_primary_transcript;147344629;147344717;-;MI0006395;hsa-mir-548g
chr11;miRNA_primary_transcript;90869121;90869202;-;MI0006396;hsa-mir-1261
chr1;miRNA_primary_transcript;68183518;68183610;-;MI0006397;hsa-mir-1262
chr3;miRNA_primary_transcript;164171471;164171556;-;MI0006398;hsa-mir-1263
chr7;miRNA_primary_transcript;34940760;34940834;-;MI0006399;hsa-mir-548n
chrX;miRNA_primary_transcript;95063141;95063226;-;MI0006400;hsa-mir-548m
chr10;miRNA_primary_transcript;14436576;14436661;+;MI0006401;hsa-mir-1265
chr7;miRNA_primary_transcript;102405742;102405855;-;MI0006402;hsa-mir-548o
chr15;miRNA_primary_transcript;52277117;52277200;-;MI0006403;hsa-mir-1266
chr13;miRNA_primary_transcript;107531171;107531248;-;MI0006404;hsa-mir-1267
chr15;miRNA_primary_transcript;22225278;22225329;-;MI0006405;hsa-mir-1268a
chr4;miRNA_primary_transcript;66276824;66276928;+;MI0006406;hsa-mir-1269a
chr19;miRNA_primary_transcript;20399272;20399354;-;MI0006407;hsa-mir-1270
chr15;miRNA_primary_transcript;64762387;64762515;-;MI0006408;hsa-mir-1272
chr8;miRNA_primary_transcript;100023982;100024084;-;MI0006409;hsa-mir-1273a
chr14;miRNA_primary_transcript;64095024;64095125;-;MI0006411;hsa-mir-548h-1
chr16;miRNA_primary_transcript;11306440;11306527;-;MI0006412;hsa-mir-548h-2
chr17;miRNA_primary_transcript;13543529;13543646;-;MI0006413;hsa-mir-548h-3
chr8;miRNA_primary_transcript;27048853;27048963;-;MI0006414;hsa-mir-548h-4
chr6;miRNA_primary_transcript;33999972;34000051;-;MI0006415;hsa-mir-1275
chr15;miRNA_primary_transcript;85770496;85770578;-;MI0006416;hsa-mir-1276
chr11;miRNA_primary_transcript;7234766;7234837;+;MI0006417;hsa-mir-302e
chr18;miRNA_primary_transcript;30298910;30298960;+;MI0006418;hsa-mir-302f
chrX;miRNA_primary_transcript;118386394;118386471;+;MI0006419;hsa-mir-1277
chr5;miRNA_primary_transcript;100816482;100816565;-;MI0006420;hsa-mir-548p
chr3;miRNA_primary_transcript;125790404;125790552;-;MI0006421;hsa-mir-548i-1
chr4;miRNA_primary_transcript;9556168;9556316;-;MI0006422;hsa-mir-548i-2
chr8;miRNA_primary_transcript;8088941;8089089;-;MI0006423;hsa-mir-548i-3
chrX;miRNA_primary_transcript;84225752;84225828;-;MI0006424;hsa-mir-548i-4
chr1;miRNA_primary_transcript;193136503;193136583;+;MI0006425;hsa-mir-1278
chr12;miRNA_primary_transcript;69273157;69273218;-;MI0006426;hsa-mir-1279
chr22;miRNA_primary_transcript;41092513;41092566;+;MI0006428;hsa-mir-1281
chr15;miRNA_primary_transcript;43793659;43793759;-;MI0006429;hsa-mir-1282
chr19;miRNA_primary_transcript;53758232;53758318;+;MI0006430;hsa-mir-1283-2
chr3;miRNA_primary_transcript;71541970;71542089;-;MI0006431;hsa-mir-1284
chr17;miRNA_primary_transcript;16282014;16282088;+;MI0006432;hsa-mir-1288
chr20;miRNA_primary_transcript;2652777;2652842;+;MI0006433;hsa-mir-1292
chr12;miRNA_primary_transcript;79419257;79419321;+;MI0006434;hsa-mir-1252
chr4;miRNA_primary_transcript;36426366;36426428;-;MI0006435;hsa-mir-1255b-1
chr1;miRNA_primary_transcript;167998660;167998726;+;MI0006436;hsa-mir-1255b-2
chr1;miRNA_primary_transcript;220200538;220200619;-;MI0006442;hsa-mir-664a
chr22;miRNA_primary_transcript;20086058;20086142;+;MI0006443;hsa-mir-1306
chr10;miRNA_primary_transcript;103394253;103394401;-;MI0006444;hsa-mir-1307
chrX;miRNA_primary_transcript;147199044;147199127;-;MI0006648;hsa-mir-513b
chrX;miRNA_primary_transcript;147189704;147189787;-;MI0006649;hsa-mir-513c
chrX;miRNA_primary_transcript;85835780;85835858;+;MI0006652;hsa-mir-1321
chr8;miRNA_primary_transcript;10825373;10825443;-;MI0006653;hsa-mir-1322
