"","Chromosome","Coord1","Coord2","Strand","ID","Name","arm5p","arm3p","high_conf","mirtron"
"238","chr14",101065447,101065537,"+","MI0002464","hsa-mir-412","hsa-miR-412-5p","hsa-miR-412-3p","0","canonical"
"239","chr14",101065912,101065991,"+","MI0002465","hsa-mir-410","hsa-miR-410-5p","hsa-miR-410-3p","0","canonical"
"240","chr14",101040436,101040535,"+","MI0002466","hsa-mir-376b","hsa-miR-376b-5p","hsa-miR-376b-3p","0","canonical"
"241","chr11",2134134,2134209,"-","MI0002467","hsa-mir-483","hsa-miR-483-5p","hsa-miR-483-3p","1","canonical"
"243","chr14",101055419,101055491,"+","MI0002469","hsa-mir-485","hsa-miR-485-5p","hsa-miR-485-3p","1","canonical"
"244","chr8",41660441,41660508,"-","MI0002470","hsa-mir-486-1","hsa-miR-486-5p","hsa-miR-486-3p","1","canonical"
"245","chr14",101052446,101052525,"+","MI0002471","hsa-mir-487a","hsa-miR-487a-5p","hsa-miR-487a-3p","0","canonical"
"246","chr1",177029363,177029445,"-","MI0003123","hsa-mir-488","hsa-miR-488-5p","hsa-miR-488-3p","1","canonical"
"247","chr7",93483936,93484019,"-","MI0003124","hsa-mir-489","hsa-miR-489-5p","hsa-miR-489-3p","0","canonical"
"248","chr7",136903167,136903294,"+","MI0003125","hsa-mir-490","hsa-miR-490-5p","hsa-miR-490-3p","1","canonical"
"249","chr9",20716105,20716188,"+","MI0003126","hsa-mir-491","hsa-miR-491-5p","hsa-miR-491-3p","1","canonical"
"250","chr10",17845107,17845193,"+","MI0003127","hsa-mir-511","hsa-miR-511-5p","hsa-miR-511-3p","0","canonical"
"251","chr10",102436512,102436584,"+","MI0003129","hsa-mir-146b","hsa-miR-146b-5p","hsa-miR-146b-3p","0","canonical"
"252","chr10",133247511,133247620,"-","MI0003130","hsa-mir-202","hsa-miR-202-5p","hsa-miR-202-3p","1","canonical"
"254","chr14",100869060,100869148,"+","MI0003132","hsa-mir-493","hsa-miR-493-5p","hsa-miR-493-3p","1","canonical"
"255","chr14",100884483,100884576,"+","MI0003133","hsa-mir-432","hsa-miR-432-5p","hsa-miR-432-3p","0","canonical"
"256","chr14",101029634,101029714,"+","MI0003134","hsa-mir-494","hsa-miR-494-5p","hsa-miR-494-3p","1","canonical"
"257","chr14",101033755,101033836,"+","MI0003135","hsa-mir-495","hsa-miR-495-5p","hsa-miR-495-3p","1","canonical"
"259","chr16",14303967,14304049,"+","MI0003137","hsa-mir-193b","hsa-miR-193b-5p","hsa-miR-193b-3p","1","canonical"
"260","chr17",7017911,7018022,"-","MI0003138","hsa-mir-497","hsa-miR-497-5p","hsa-miR-497-3p","1","canonical"
"261","chr19",13874875,13875011,"+","MI0003139","hsa-mir-181d","hsa-miR-181d-5p","hsa-miR-181d-3p","1","canonical"
"262","chr19",53666679,53666762,"+","MI0003140","hsa-mir-512-1","hsa-miR-512-5p","hsa-miR-512-3p","0","canonical"
"263","chr19",53669157,53669254,"+","MI0003141","hsa-mir-512-2","hsa-miR-512-5p","hsa-miR-512-3p","0","canonical"
"266","chr19",53679003,53679085,"+","MI0003144","hsa-mir-515-1","hsa-miR-515-5p","hsa-miR-515-3p","0","canonical"
"267","chr19",53679940,53680023,"+","MI0003145","hsa-mir-519e","hsa-miR-519e-5p","hsa-miR-519e-3p","0","canonical"
"268","chr19",53682159,53682245,"+","MI0003146","hsa-mir-520f","hsa-miR-520f-5p","hsa-miR-520f-3p","0","canonical"
"269","chr19",53685009,53685091,"+","MI0003147","hsa-mir-515-2","hsa-miR-515-5p","hsa-miR-515-3p","0","canonical"
"270","chr19",53686469,53686555,"+","MI0003148","hsa-mir-519c","hsa-miR-519c-5p","hsa-miR-519c-3p","0","canonical"
"271","chr19",53690881,53690965,"+","MI0003149","hsa-mir-520a","hsa-miR-520a-5p","hsa-miR-520a-3p","0","canonical"
"272","chr19",53694393,53694475,"+","MI0003150","hsa-mir-526b","hsa-miR-526b-5p","hsa-miR-526b-3p","0","canonical"
"273","chr19",53695213,53695293,"+","MI0003151","hsa-mir-519b","hsa-miR-519b-5p","hsa-miR-519b-3p","0","canonical"
"274","chr19",53697533,53697617,"+","MI0003152","hsa-mir-525","hsa-miR-525-5p","hsa-miR-525-3p","0","canonical"
"275","chr19",53698385,53698471,"+","MI0003153","hsa-mir-523","hsa-miR-523-5p","hsa-miR-523-3p","0","canonical"
"276","chr19",53700015,53700101,"+","MI0003154","hsa-mir-518f","hsa-miR-518f-5p","hsa-miR-518f-3p","0","canonical"
"280","chr19",53707453,53707539,"+","MI0003158","hsa-mir-520c","hsa-miR-520c-5p","hsa-miR-520c-3p","0","canonical"
"281","chr19",53708735,53708835,"+","MI0003159","hsa-mir-518c","hsa-miR-518c-5p","hsa-miR-518c-3p","0","canonical"
"282","chr19",53711002,53711088,"+","MI0003160","hsa-mir-524","hsa-miR-524-5p","hsa-miR-524-3p","0","canonical"
"283","chr19",53712268,53712354,"+","MI0003161","hsa-mir-517a","hsa-miR-517-5p","hsa-miR-517a-3p","0","canonical"
"284","chr19",53713347,53713434,"+","MI0003162","hsa-mir-519d","hsa-miR-519d-5p","hsa-miR-519d-3p","0","canonical"
"286","chr19",53720096,53720182,"+","MI0003164","hsa-mir-520d","hsa-miR-520d-5p","hsa-miR-520d-3p","0","canonical"
"287","chr19",53721076,53721142,"+","MI0003165","hsa-mir-517b","hsa-miR-517-5p","hsa-miR-517b-3p","0","canonical"
"288","chr19",53722166,53722255,"+","MI0003166","hsa-mir-520g","hsa-miR-520g-5p","hsa-miR-520g-3p","0","canonical"
"289","chr19",53725442,53725526,"+","MI0003167","hsa-mir-516b-2","hsa-miR-516b-5p","hsa-miR-516b-3p","0","canonical"
"291","chr19",53729838,53729925,"+","MI0003169","hsa-mir-518e","hsa-miR-518e-5p","hsa-miR-518e-3p","0","canonical"
"292","chr19",53731006,53731090,"+","MI0003170","hsa-mir-518a-1","hsa-miR-518a-5p","hsa-miR-518a-3p","0","canonical"
"293","chr19",53734877,53734963,"+","MI0003171","hsa-mir-518d","hsa-miR-518d-5p","hsa-miR-518d-3p","0","canonical"
"294","chr19",53736845,53736934,"+","MI0003172","hsa-mir-516b-1","hsa-miR-516b-5p","hsa-miR-516b-3p","0","canonical"
"295","chr19",53739333,53739419,"+","MI0003173","hsa-mir-518a-2","hsa-miR-518a-5p","hsa-miR-518a-3p","0","canonical"
"296","chr19",53741313,53741407,"+","MI0003174","hsa-mir-517c","hsa-miR-517-5p","hsa-miR-517c-3p","0","canonical"
"299","chr19",53751211,53751297,"+","MI0003177","hsa-mir-522","hsa-miR-522-5p","hsa-miR-522-3p","0","canonical"
"300","chr19",53752397,53752481,"+","MI0003178","hsa-mir-519a-1","hsa-miR-519a-5p","hsa-miR-519a-3p","1","canonical"
"302","chr19",53756741,53756830,"+","MI0003180","hsa-mir-516a-1","hsa-miR-516a-5p","hsa-miR-516a-3p","0","canonical"
"303","chr19",53761133,53761222,"+","MI0003181","hsa-mir-516a-2","hsa-miR-516a-5p","hsa-miR-516a-3p","0","canonical"
"305","chr20",34990376,34990497,"+","MI0003183","hsa-mir-499a","hsa-miR-499a-5p","hsa-miR-499a-3p","0","canonical"
"306","chrX",50008431,50008514,"+","MI0003184","hsa-mir-500a","hsa-miR-500a-5p","hsa-miR-500a-3p","1","canonical"
"307","chrX",50009722,50009805,"+","MI0003185","hsa-mir-501","hsa-miR-501-5p","hsa-miR-501-3p","0","canonical"
"308","chrX",50014598,50014683,"+","MI0003186","hsa-mir-502","hsa-miR-502-5p","hsa-miR-502-3p","0","canonical"
"309","chrX",134540508,134540607,"-","MI0003187","hsa-mir-450a-2","hsa-miR-450a-5p","hsa-miR-450a-2-3p","1","canonical"
"310","chrX",134546328,134546398,"-","MI0003188","hsa-mir-503","hsa-miR-503-5p","hsa-miR-503-3p","1","canonical"
"311","chrX",138667711,138667793,"-","MI0003189","hsa-mir-504","hsa-miR-504-5p","hsa-miR-504-3p","1","canonical"
"312","chrX",139924148,139924231,"-","MI0003190","hsa-mir-505","hsa-miR-505-5p","hsa-miR-505-3p","1","canonical"
"313","chrX",147213463,147213591,"-","MI0003191","hsa-mir-513a-1","hsa-miR-513a-5p","hsa-miR-513a-3p","0","canonical"
"314","chrX",147225826,147225952,"-","MI0003192","hsa-mir-513a-2","hsa-miR-513a-5p","hsa-miR-513a-3p","0","canonical"
"315","chrX",147230720,147230843,"-","MI0003193","hsa-mir-506","hsa-miR-506-5p","hsa-miR-506-3p","1","canonical"
"317","chrX",147236913,147237027,"-","MI0003195","hsa-mir-508","hsa-miR-508-5p","hsa-miR-508-3p","1","canonical"
"318","chrX",147260532,147260625,"-","MI0003196","hsa-mir-509-1","hsa-miR-509-5p","hsa-miR-509-3p","1","canonical"
"319","chrX",147272335,147272408,"-","MI0003197","hsa-mir-510","hsa-miR-510-5p","hsa-miR-510-3p","1","canonical"
"320","chrX",147279247,147279344,"-","MI0003198","hsa-mir-514a-1","hsa-miR-514a-5p","hsa-miR-514a-3p","1","canonical"
"321","chrX",147281943,147282030,"-","MI0003199","hsa-mir-514a-2","hsa-miR-514a-5p","hsa-miR-514a-3p","1","canonical"
"322","chrX",147284641,147284728,"-","MI0003200","hsa-mir-514a-3","hsa-miR-514a-5p","hsa-miR-514a-3p","1","canonical"
"323","chrX",50003148,50003238,"+","MI0003205","hsa-mir-532","hsa-miR-532-5p","hsa-miR-532-3p","1","canonical"
"324","chr9",114209434,114209529,"+","MI0003513","hsa-mir-455","hsa-miR-455-5p","hsa-miR-455-3p","0","canonical"
"325","chr14",101047321,101047398,"+","MI0003514","hsa-mir-539","hsa-miR-539-5p","hsa-miR-539-3p","1","canonical"
"327","chrX",74287104,74287209,"-","MI0003516","hsa-mir-545","hsa-miR-545-5p","hsa-miR-545-3p","1","canonical"
"328","chr14",101040069,101040148,"+","MI0003529","hsa-mir-376a-2","hsa-miR-376a-2-5p","hsa-miR-376a-3p","1","canonical"
"329","chr14",101046455,101046538,"+","MI0003530","hsa-mir-487b","hsa-miR-487b-5p","hsa-miR-487b-3p","1","canonical"
"331","chr1",34669599,34669694,"-","MI0003557","hsa-mir-552","hsa-miR-552-5p","hsa-miR-552-3p","0","canonical"
"334","chr1",155195177,155195272,"+","MI0003560","hsa-mir-92b","hsa-miR-92b-5p","hsa-miR-92b-3p","1","canonical"
"336","chr1",162342546,162342640,"+","MI0003562","hsa-mir-556","hsa-miR-556-5p","hsa-miR-556-3p","1","canonical"
"340","chr2",188297492,188297588,"+","MI0003567","hsa-mir-561","hsa-miR-561-5p","hsa-miR-561-3p","1","canonical"
"347","chr3",168551854,168551949,"+","MI0003575","hsa-mir-551b","hsa-miR-551b-5p","hsa-miR-551b-3p","1","canonical"
"349","chr3",195699401,195699497,"+","MI0003577","hsa-mir-570","hsa-miR-570-5p","hsa-miR-570-3p","1","canonical"
"353","chr4",38868032,38868127,"+","MI0003581","hsa-mir-574","hsa-miR-574-5p","hsa-miR-574-3p","1","canonical"
"355","chr4",109488698,109488795,"+","MI0003583","hsa-mir-576","hsa-miR-576-5p","hsa-miR-576-3p","1","canonical"
"358","chr5",32394378,32394475,"-","MI0003586","hsa-mir-579","hsa-miR-579-5p","hsa-miR-579-3p","1","canonical"
"359","chr5",36147892,36147988,"-","MI0003587","hsa-mir-580","hsa-miR-580-5p","hsa-miR-580-3p","0","canonical"
"361","chr5",59703606,59703703,"-","MI0003589","hsa-mir-582","hsa-miR-582-5p","hsa-miR-582-3p","1","canonical"
"363","chr5",149062313,149062409,"-","MI0003591","hsa-mir-584","hsa-miR-584-5p","hsa-miR-584-3p","1","canonical"
"364","chr5",169263601,169263694,"-","MI0003592","hsa-mir-585","hsa-miR-585-5p","hsa-miR-585-3p","0","canonical"
"368","chr6",119069047,119069143,"-","MI0003596","hsa-mir-548b","hsa-miR-548b-5p","hsa-miR-548b-3p","0","canonical"
"371","chr7",5495819,5495917,"-","MI0003599","hsa-mir-589","hsa-miR-589-5p","hsa-miR-589-3p","1","canonical"
"372","chr7",30289794,30289890,"+","MI0003600","hsa-mir-550a-1","hsa-miR-550a-5p","hsa-miR-550a-3p","0","canonical"
"373","chr7",32732981,32733077,"+","MI0003601","hsa-mir-550a-2","hsa-miR-550a-5p","hsa-miR-550a-3p","0","canonical"
"374","chr7",74191198,74191294,"+","MI0003602","hsa-mir-590","hsa-miR-590-5p","hsa-miR-590-3p","1","canonical"
"377","chr7",128081861,128081960,"+","MI0003605","hsa-mir-593","hsa-miR-593-5p","hsa-miR-593-3p","0","canonical"
"380","chr8",9741672,9741768,"+","MI0003609","hsa-mir-597","hsa-miR-597-5p","hsa-miR-597-3p","0","canonical"
"381","chr8",11035206,11035302,"-","MI0003610","hsa-mir-598","hsa-miR-598-5p","hsa-miR-598-3p","0","canonical"
"383","chr8",104484369,104484465,"-","MI0003612","hsa-mir-548a-3","hsa-miR-548a-5p","hsa-miR-548a-3p","1","canonical"
"389","chr10",51299573,51299655,"+","MI0003618","hsa-mir-605","hsa-miR-605-5p","hsa-miR-605-3p","0","canonical"
"399","chr12",54033950,54034045,"+","MI0003628","hsa-mir-615","hsa-miR-615-5p","hsa-miR-615-3p","1","canonical"
"400","chr12",57519163,57519259,"-","MI0003629","hsa-mir-616","hsa-miR-616-5p","hsa-miR-616-3p","1","canonical"
"401","chr12",64622509,64622605,"+","MI0003630","hsa-mir-548c","hsa-miR-548c-5p","hsa-miR-548c-3p","0","canonical"
"404","chr12",108836908,108837006,"-","MI0003633","hsa-mir-619","hsa-miR-619-5p","hsa-miR-619-3p","0","canonical"
"409","chr14",31014646,31014742,"-","MI0003638","hsa-mir-624","hsa-miR-624-5p","hsa-miR-624-3p","1","canonical"
"410","chr14",65471102,65471186,"+","MI0003639","hsa-mir-625","hsa-miR-625-5p","hsa-miR-625-3p","1","canonical"
"412","chr15",42199570,42199666,"-","MI0003641","hsa-mir-627","hsa-miR-627-5p","hsa-miR-627-3p","1","canonical"
"413","chr15",55372940,55373034,"-","MI0003642","hsa-mir-628","hsa-miR-628-5p","hsa-miR-628-3p","1","canonical"
"414","chr15",70079372,70079468,"-","MI0003643","hsa-mir-629","hsa-miR-629-5p","hsa-miR-629-3p","1","canonical"
"417","chr17",17813836,17813931,"-","MI0003646","hsa-mir-33b","hsa-miR-33b-5p","hsa-miR-33b-3p","1","canonical"
"428","chr19",45674928,45675024,"+","MI0003657","hsa-mir-642a","hsa-miR-642a-5p","hsa-miR-642a-3p","1","canonical"
"437","chrX",8126965,8127061,"+","MI0003666","hsa-mir-651","hsa-miR-651-5p","hsa-miR-651-3p","1","canonical"
"438","chrX",110055329,110055426,"+","MI0003667","hsa-mir-652","hsa-miR-652-5p","hsa-miR-652-3p","1","canonical"
"439","chr8",123348034,123348130,"-","MI0003668","hsa-mir-548d-1","hsa-miR-548d-5p","hsa-miR-548d-3p","1","canonical"
"442","chr17",67471489,67471585,"-","MI0003671","hsa-mir-548d-2","hsa-miR-548d-5p","hsa-miR-548d-3p","1","canonical"
"444","chr5",55170646,55170742,"-","MI0003673","hsa-mir-449b","hsa-miR-449b-5p","hsa-miR-449b-3p","0","canonical"
"445","chr7",93482760,93482855,"-","MI0003674","hsa-mir-653","hsa-miR-653-5p","hsa-miR-653-3p","0","canonical"
"446","chr14",101023325,101023420,"+","MI0003675","hsa-mir-411","hsa-miR-411-5p","hsa-miR-411-3p","1","canonical"
"447","chr14",101040219,101040299,"+","MI0003676","hsa-mir-654","hsa-miR-654-5p","hsa-miR-654-3p","1","canonical"
"448","chr14",101049550,101049646,"+","MI0003677","hsa-mir-655","hsa-miR-655-5p","hsa-miR-655-3p","0","canonical"
"449","chr14",101066724,101066801,"+","MI0003678","hsa-mir-656","hsa-miR-656-5p","hsa-miR-656-3p","0","canonical"
"453","chr22",37847678,37847774,"-","MI0003683","hsa-mir-659","hsa-miR-659-5p","hsa-miR-659-3p","0","canonical"
"454","chrX",50013241,50013337,"+","MI0003684","hsa-mir-660","hsa-miR-660-5p","hsa-miR-660-3p","1","canonical"
"456","chrX",134541341,134541437,"-","MI0003686","hsa-mir-542","hsa-miR-542-5p","hsa-miR-542-3p","1","canonical"
"457","chr14",101026020,101026107,"+","MI0003757","hsa-mir-758","hsa-miR-758-5p","hsa-miR-758-3p","1","canonical"
"459","chr7",151238421,151238538,"+","MI0003760","hsa-mir-671","hsa-miR-671-5p","hsa-miR-671-3p","1","canonical"
"460","chr14",101055258,101055323,"+","MI0003761","hsa-mir-668","hsa-miR-668-5p","hsa-miR-668-3p","0","canonical"
"461","chr7",29680734,29680828,"-","MI0003762","hsa-mir-550a-3","hsa-miR-550a-3-5p","hsa-miR-550a-3p","0","canonical"
"462","chrX",152393421,152393529,"-","MI0003763","hsa-mir-767","hsa-miR-767-5p","hsa-miR-767-3p","1","canonical"
"463","chr3",184241405,184241489,"+","MI0003764","hsa-mir-1224","hsa-miR-1224-5p","hsa-miR-1224-3p","0","mirtron"
"467","chr10",63372957,63373048,"-","MI0003780","hsa-mir-1296","hsa-miR-1296-5p","hsa-miR-1296-3p","1","canonical"
"468","chrX",63786002,63786087,"-","MI0003782","hsa-mir-1468","hsa-miR-1468-5p","hsa-miR-1468-3p","0","canonical"
"470","chr5",176367946,176368031,"+","MI0003814","hsa-mir-1271","hsa-miR-1271-5p","hsa-miR-1271-3p","1","canonical"
"471","chr2",25328640,25328721,"-","MI0003815","hsa-mir-1301","hsa-miR-1301-5p","hsa-miR-1301-3p","0","canonical"
"472","chr17",59137758,59137872,"-","MI0003820","hsa-mir-454","hsa-miR-454-5p","hsa-miR-454-3p","1","canonical"
"473","chr14",101044198,101044283,"+","MI0003821","hsa-mir-1185-2","hsa-miR-1185-5p","hsa-miR-1185-2-3p","1","canonical"
"474","chr5",55172262,55172353,"-","MI0003823","hsa-mir-449c","hsa-miR-449c-5p","hsa-miR-449c-3p","0","canonical"
"476","chr19",46018932,46019049,"+","MI0003834","hsa-mir-769","hsa-miR-769-5p","hsa-miR-769-3p","1","canonical"
"477","chrX",119646738,119646848,"-","MI0003836","hsa-mir-766","hsa-miR-766-5p","hsa-miR-766-3p","1","canonical"
"480","chr14",101042977,101043062,"+","MI0003844","hsa-mir-1185-1","hsa-miR-1185-5p","hsa-miR-1185-1-3p","1","canonical"
"483","chr11",43559656,43559753,"+","MI0003933","hsa-mir-670","hsa-miR-670-5p","hsa-miR-670-3p","0","canonical"
"484","chrX",114715233,114715344,"+","MI0003938","hsa-mir-1298","hsa-miR-1298-5p","hsa-miR-1298-3p","0","canonical"
"491","chr11",1996759,1996831,"-","MI0005416","hsa-mir-675","hsa-miR-675-5p","hsa-miR-675-3p","1","canonical"
"493","chrX",146027794,146027872,"-","MI0005524","hsa-mir-891a","hsa-miR-891a-5p","hsa-miR-891a-3p","0","canonical"
"496","chrX",147258760,147258850,"-","MI0005530","hsa-mir-509-2","hsa-miR-509-5p","hsa-miR-509-3p","1","canonical"
"497","chrX",134540185,134540262,"-","MI0005531","hsa-mir-450b","hsa-miR-450b-5p","hsa-miR-450b-3p","1","canonical"
"498","chr5",137647572,137647649,"-","MI0005532","hsa-mir-874","hsa-miR-874-5p","hsa-miR-874-3p","1","canonical"
"501","chrX",145994784,145994860,"-","MI0005537","hsa-mir-888","hsa-miR-888-5p","hsa-miR-888-3p","0","canonical"
"503","chr14",101064495,101064578,"+","MI0005539","hsa-mir-541","hsa-miR-541-5p","hsa-miR-541-3p","0","canonical"
"504","chr14",101047901,101047979,"+","MI0005540","hsa-mir-889","hsa-miR-889-5p","hsa-miR-889-3p","0","canonical"
"505","chr8",99536786,99536861,"-","MI0005541","hsa-mir-875","hsa-miR-875-5p","hsa-miR-875-3p","0","canonical"
"506","chr9",28863626,28863706,"-","MI0005542","hsa-mir-876","hsa-miR-876-5p","hsa-miR-876-3p","1","canonical"
"507","chr11",79402022,79402109,"-","MI0005543","hsa-mir-708","hsa-miR-708-5p","hsa-miR-708-3p","1","canonical"
"510","chr17",12081899,12081996,"+","MI0005559","hsa-mir-744","hsa-miR-744-5p","hsa-miR-744-3p","1","canonical"
"511","chr3",10394489,10394562,"-","MI0005560","hsa-mir-885","hsa-miR-885-5p","hsa-miR-885-3p","1","canonical"
"512","chr6",30584332,30584417,"+","MI0005561","hsa-mir-877","hsa-miR-877-5p","hsa-miR-877-3p","0","mirtron"
"513","chr5",15935182,15935260,"+","MI0005562","hsa-mir-887","hsa-miR-887-5p","hsa-miR-887-3p","1","canonical"
"515","chr9",28888879,28888955,"-","MI0005564","hsa-mir-873","hsa-miR-873-5p","hsa-miR-873-3p","1","canonical"
"517","chrX",74218547,74218618,"-","MI0005566","hsa-mir-374b","hsa-miR-374b-5p","hsa-miR-374b-3p","1","canonical"
"519","chr22",21652981,21653058,"+","MI0005568","hsa-mir-301b","hsa-miR-301b-5p","hsa-miR-301b-3p","1","canonical"
"520","chr2",56000714,56000795,"-","MI0005569","hsa-mir-216b","hsa-miR-216b-5p","hsa-miR-216b-3p","0","canonical"
"521","chr14",23417987,23418063,"-","MI0005570","hsa-mir-208b","hsa-miR-208b-5p","hsa-miR-208b-3p","1","canonical"
"526","chrX",147259652,147259726,"-","MI0005717","hsa-mir-509-3","hsa-miR-509-3-5p","hsa-miR-509-3p","1","canonical"
"531","chr8",143812957,143813042,"-","MI0005759","hsa-mir-937","hsa-miR-937-5p","hsa-miR-937-3p","0","3p-tailed mirtron"
"533","chr8",144394149,144394230,"-","MI0005761","hsa-mir-939","hsa-miR-939-5p","hsa-miR-939-3p","0","5p-tailed mirtron"
"539","chr1",117094643,117094728,"+","MI0005767","hsa-mir-942","hsa-miR-942-5p","hsa-miR-942-3p","1","canonical"
"543","chr12",119713634,119713724,"-","MI0006271","hsa-mir-1178","hsa-miR-1178-5p","hsa-miR-1178-3p","0","canonical"
"545","chr17",19344506,19344574,"-","MI0006273","hsa-mir-1180","hsa-miR-1180-5p","hsa-miR-1180-3p","0","canonical"
"550","chr16",2090195,2090284,"-","MI0006311","hsa-mir-1225","hsa-miR-1225-5p","hsa-miR-1225-3p","0","canonical"
"551","chr3",47849555,47849629,"+","MI0006313","hsa-mir-1226","hsa-miR-1226-5p","hsa-miR-1226-3p","0","mirtron"
"552","chr19",2234062,2234149,"-","MI0006316","hsa-mir-1227","hsa-miR-1227-5p","hsa-miR-1227-3p","0","mirtron"
"553","chr12",57194504,57194576,"+","MI0006318","hsa-mir-1228","hsa-miR-1228-5p","hsa-miR-1228-3p","0","mirtron"
"554","chr5",179798278,179798346,"-","MI0006319","hsa-mir-1229","hsa-miR-1229-5p","hsa-miR-1229-3p","0","mirtron"
"556","chr15",34382069,34382150,"-","MI0006323","hsa-mir-1233-1","hsa-miR-1233-5p","hsa-miR-1233-3p","0","mirtron"
"558","chr6",31956839,31956940,"-","MI0006326","hsa-mir-1236","hsa-miR-1236-5p","hsa-miR-1236-3p","0","mirtron"
"559","chr11",64368602,64368703,"+","MI0006327","hsa-mir-1237","hsa-miR-1237-5p","hsa-miR-1237-3p","0","5p-tailed mirtron"
"560","chr19",10552122,10552204,"+","MI0006328","hsa-mir-1238","hsa-miR-1238-5p","hsa-miR-1238-3p","0","canonical"
"568","chr8",128049152,128049238,"+","MI0006340","hsa-mir-1207","hsa-miR-1207-5p","hsa-miR-1207-3p","0","canonical"
"570","chr10",110988926,110989013,"+","MI0006344","hsa-mir-548e","hsa-miR-548e-5p","hsa-miR-548e-3p","1","canonical"
"571","chr22",26555212,26555323,"-","MI0006345","hsa-mir-548j","hsa-miR-548j-5p","hsa-miR-548j-3p","1","canonical"
"572","chr7",92204015,92204098,"-","MI0006346","hsa-mir-1285-1","hsa-miR-1285-5p","hsa-miR-1285-3p","1","canonical"
"575","chr10",98395218,98395307,"-","MI0006349","hsa-mir-1287","hsa-miR-1287-5p","hsa-miR-1287-3p","1","canonical"
"596","chr11",93733674,93733764,"-","MI0006371","hsa-mir-1304","hsa-miR-1304-5p","hsa-miR-1304-3p","1","canonical"
"599","chr10",54607874,54607957,"-","MI0006374","hsa-mir-548f-1","hsa-miR-548f-5p","hsa-miR-548f-3p","0","canonical"
"607","chr14",101560287,101560422,"-","MI0006382","hsa-mir-1247","hsa-miR-1247-5p","hsa-miR-1247-3p","0","canonical"
"609","chr22",45200954,45201019,"-","MI0006384","hsa-mir-1249","hsa-miR-1249-5p","hsa-miR-1249-3p","1","canonical"
"610","chr17",81133196,81133308,"-","MI0006385","hsa-mir-1250","hsa-miR-1250-5p","hsa-miR-1250-3p","0","canonical"
"611","chr12",97491909,97491978,"+","MI0006386","hsa-mir-1251","hsa-miR-1251-5p","hsa-miR-1251-3p","0","canonical"
"619","chr4",147344629,147344717,"-","MI0006395","hsa-mir-548g","hsa-miR-548g-5p","hsa-miR-548g-3p","0","canonical"
"627","chr15",52277117,52277200,"-","MI0006403","hsa-mir-1266","hsa-miR-1266-5p","hsa-miR-1266-3p","0","canonical"
"637","chr8",27048853,27048963,"-","MI0006414","hsa-mir-548h-4","hsa-miR-548h-5p","hsa-miR-548h-3p","1","canonical"
"642","chrX",118386394,118386471,"+","MI0006419","hsa-mir-1277","hsa-miR-1277-5p","hsa-miR-1277-3p","0","canonical"
"654","chr17",16282014,16282088,"+","MI0006432","hsa-mir-1288","hsa-miR-1288-5p","hsa-miR-1288-3p","0","canonical"
"655","chr20",2652777,2652842,"+","MI0006433","hsa-mir-1292","hsa-miR-1292-5p","hsa-miR-1292-3p","0","5p-tailed mirtron"
"656","chr12",79419257,79419321,"+","MI0006434","hsa-mir-1252","hsa-miR-1252-5p","hsa-miR-1252-3p","0","canonical"
"658","chr1",167998660,167998726,"+","MI0006436","hsa-mir-1255b-2","hsa-miR-1255b-5p","hsa-miR-1255b-2-3p","0","canonical"
"659","chr1",220200538,220200619,"-","MI0006442","hsa-mir-664a","hsa-miR-664a-5p","hsa-miR-664a-3p","0","canonical"
"660","chr22",20086058,20086142,"+","MI0006443","hsa-mir-1306","hsa-miR-1306-5p","hsa-miR-1306-3p","1","canonical"
"661","chr10",103394253,103394401,"-","MI0006444","hsa-mir-1307","hsa-miR-1307-5p","hsa-miR-1307-3p","1","canonical"
"662","chrX",147199044,147199127,"-","MI0006648","hsa-mir-513b","hsa-miR-513b-5p","hsa-miR-513b-3p","0","canonical"
"663","chrX",147189704,147189787,"-","MI0006649","hsa-mir-513c","hsa-miR-513c-5p","hsa-miR-513c-3p","1","canonical"
"671","chr1",235853000,235853060,"-","MI0007258","hsa-mir-1537","hsa-miR-1537-5p","hsa-miR-1537-3p","0","canonical"
"681","chr11",61815161,61815240,"-","MI0008329","hsa-mir-1908","hsa-miR-1908-5p","hsa-miR-1908-3p","1","canonical"
"682","chr19",1816159,1816238,"-","MI0008330","hsa-mir-1909","hsa-miR-1909-5p","hsa-miR-1909-3p","0","3p-tailed mirtron"
"683","chr16",85741621,85741700,"-","MI0008331","hsa-mir-1910","hsa-miR-1910-5p","hsa-miR-1910-3p","1","canonical"
"684","chrX",114763184,114763263,"+","MI0008332","hsa-mir-1911","hsa-miR-1911-5p","hsa-miR-1911-3p","0","canonical"
"687","chr20",63941465,63941544,"-","MI0008335","hsa-mir-1914","hsa-miR-1914-5p","hsa-miR-1914-3p","0","canonical"
"688","chr10",21496562,21496641,"-","MI0008336","hsa-mir-1915","hsa-miR-1915-5p","hsa-miR-1915-3p","0","canonical"
"696","chrX",150228004,150228083,"+","MI0010633","hsa-mir-2114","hsa-miR-2114-5p","hsa-miR-2114-3p","0","canonical"
"697","chr3",48316360,48316459,"-","MI0010634","hsa-mir-2115","hsa-miR-2115-5p","hsa-miR-2115-3p","0","canonical"
"698","chr15",59171183,59171262,"-","MI0010635","hsa-mir-2116","hsa-miR-2116-5p","hsa-miR-2116-3p","1","canonical"
