Chromosome;Type;Coord1;Coord2;Strand;ID;Name;Arm;Derives_from
chr15;miRNA;55372991;55373012;-;MIMAT0004809;hsa-miR-628-5p;5p;MI0003642
chr15;miRNA;70079387;70079408;-;MIMAT0003298;hsa-miR-629-3p;3p;MI0003643
chr15;miRNA;70079427;70079447;-;MIMAT0004810;hsa-miR-629-5p;5p;MI0003643
chr15;miRNA;72587277;72587298;+;MIMAT0003299;hsa-miR-630;30;MI0003644
chr15;miRNA;75353650;75353670;-;MIMAT0003300;hsa-miR-631;31;MI0003645
chr17;miRNA;17813897;17813916;-;MIMAT0003301;hsa-miR-33b-5p;5p;MI0003646
chr17;miRNA;17813857;17813878;-;MIMAT0004811;hsa-miR-33b-3p;3p;MI0003646
chr17;miRNA;32350169;32350187;+;MIMAT0003302;hsa-miR-632;32;MI0003647
chr17;miRNA;62944275;62944297;+;MIMAT0003303;hsa-miR-633;33;MI0003648
chr17;miRNA;66787132;66787153;+;MIMAT0003304;hsa-miR-634;34;MI0003649
chr17;miRNA;68424511;68424533;-;MIMAT0003305;hsa-miR-635;35;MI0003650
chr17;miRNA;76736466;76736488;-;MIMAT0003306;hsa-miR-636;36;MI0003651
chr19;miRNA;3961429;3961452;-;MIMAT0003307;hsa-miR-637;37;MI0003652
chr19;miRNA;10718419;10718443;+;MIMAT0003308;hsa-miR-638;38;MI0003653
chr19;miRNA;14529603;14529625;+;MIMAT0003309;hsa-miR-639;39;MI0003654
chr19;miRNA;19435123;19435143;+;MIMAT0003310;hsa-miR-640;40;MI0003655
chr19;miRNA;40282603;40282626;-;MIMAT0003311;hsa-miR-641;41;MI0003656
chr19;miRNA;45674943;45674964;+;MIMAT0003312;hsa-miR-642a-5p;5p;MI0003657
chr19;miRNA;45674978;45674999;+;MIMAT0020924;hsa-miR-642a-3p;3p;MI0003657
chr19;miRNA;52281857;52281878;+;MIMAT0003313;hsa-miR-643;43;MI0003658
chr20;miRNA;34466385;34466403;+;MIMAT0003314;hsa-miR-644a;4a;MI0003659
chr20;miRNA;50585846;50585864;+;MIMAT0003315;hsa-miR-645;45;MI0003660
chr20;miRNA;60308534;60308552;+;MIMAT0003316;hsa-miR-646;46;MI0003661
chr20;miRNA;63942691;63942711;-;MIMAT0003317;hsa-miR-647;47;MI0003662
chr22;miRNA;17980928;17980946;-;MIMAT0003318;hsa-miR-648;48;MI0003663
chr22;miRNA;21034191;21034212;-;MIMAT0003319;hsa-miR-649;49;MI0003664
chr22;miRNA;22822791;22822811;+;MIMAT0003320;hsa-miR-650;50;MI0003665
chrX;miRNA;8126980;8127001;+;MIMAT0003321;hsa-miR-651-5p;5p;MI0003666
chrX;miRNA;8127018;8127039;+;MIMAT0026624;hsa-miR-651-3p;3p;MI0003666
chrX;miRNA;110055389;110055409;+;MIMAT0003322;hsa-miR-652-3p;3p;MI0003667
chrX;miRNA;110055349;110055373;+;MIMAT0022709;hsa-miR-652-5p;5p;MI0003667
chr8;miRNA;123348049;123348070;-;MIMAT0003323_1;hsa-miR-548d-3p;3p;MI0003668
chr8;miRNA;123348085;123348106;-;MIMAT0004812_1;hsa-miR-548d-5p;5p;MI0003668
chr8;miRNA;143945206;143945229;-;MIMAT0003324;hsa-miR-661;61;MI0003669
chr16;miRNA;770243;770263;+;MIMAT0003325;hsa-miR-662;62;MI0003670
chr17;miRNA;67471504;67471525;-;MIMAT0003323;hsa-miR-548d-3p;3p;MI0003671
chr17;miRNA;67471540;67471561;-;MIMAT0004812;hsa-miR-548d-5p;5p;MI0003671
chr20;miRNA;26208243;26208264;-;MIMAT0003326;hsa-miR-663a;3a;MI0003672
chr5;miRNA;55170706;55170727;-;MIMAT0003327;hsa-miR-449b-5p;5p;MI0003673
chr5;miRNA;55170667;55170688;-;MIMAT0009203;hsa-miR-449b-3p;3p;MI0003673
chr7;miRNA;93482823;93482843;-;MIMAT0003328;hsa-miR-653-5p;5p;MI0003674
chr7;miRNA;93482784;93482805;-;MIMAT0026625;hsa-miR-653-3p;3p;MI0003674
chr14;miRNA;101023340;101023360;+;MIMAT0003329;hsa-miR-411-5p;5p;MI0003675
chr14;miRNA;101023375;101023396;+;MIMAT0004813;hsa-miR-411-3p;3p;MI0003675
chr14;miRNA;101040234;101040255;+;MIMAT0003330;hsa-miR-654-5p;5p;MI0003676
chr14;miRNA;101040269;101040290;+;MIMAT0004814;hsa-miR-654-3p;3p;MI0003676
chr14;miRNA;101049610;101049631;+;MIMAT0003331;hsa-miR-655-3p;3p;MI0003677
chr14;miRNA;101049572;101049593;+;MIMAT0026626;hsa-miR-655-5p;5p;MI0003677
chr14;miRNA;101066766;101066786;+;MIMAT0003332;hsa-miR-656-3p;3p;MI0003678
chr14;miRNA;101066731;101066751;+;MIMAT0026627;hsa-miR-656-5p;5p;MI0003678
chr15;miRNA;80841993;80842013;-;MIMAT0003333;hsa-miR-549a;9a;MI0003679
chr17;miRNA;81125291;81125313;-;MIMAT0003335;hsa-miR-657;57;MI0003681
chr22;miRNA;37844287;37844311;-;MIMAT0003336;hsa-miR-658;58;MI0003682
chr22;miRNA;37847693;37847714;-;MIMAT0003337;hsa-miR-659-3p;3p;MI0003683
chr22;miRNA;37847732;37847753;-;MIMAT0022710;hsa-miR-659-5p;5p;MI0003683
chrX;miRNA;50013256;50013277;+;MIMAT0003338;hsa-miR-660-5p;5p;MI0003684
chrX;miRNA;50013292;50013312;+;MIMAT0022711;hsa-miR-660-3p;3p;MI0003684
chrX;miRNA;74218392;74218414;-;MIMAT0003339;hsa-miR-421;21;MI0003685
chrX;miRNA;134541400;134541422;-;MIMAT0003340;hsa-miR-542-5p;5p;MI0003686
chrX;miRNA;134541364;134541385;-;MIMAT0003389;hsa-miR-542-3p;3p;MI0003686
chr14;miRNA;101026071;101026092;+;MIMAT0003879;hsa-miR-758-3p;3p;MI0003757
chr14;miRNA;101026034;101026055;+;MIMAT0022929;hsa-miR-758-5p;5p;MI0003757
chrX;miRNA;114652696;114652718;+;MIMAT0005791;hsa-miR-1264;64;MI0003758
chr7;miRNA;151238449;151238471;+;MIMAT0003880;hsa-miR-671-5p;5p;MI0003760
chr7;miRNA;151238488;151238508;+;MIMAT0004819;hsa-miR-671-3p;3p;MI0003760
chr14;miRNA;101055300;101055322;+;MIMAT0003881;hsa-miR-668-3p;3p;MI0003761
chr14;miRNA;101055264;101055282;+;MIMAT0026636;hsa-miR-668-5p;5p;MI0003761
chr7;miRNA;29680748;29680769;-;MIMAT0003257;hsa-miR-550a-3p;3p;MI0003762
chr7;miRNA;29680789;29680808;-;MIMAT0020925;hsa-miR-550a-3-5p;5p;MI0003762
chrX;miRNA;152393481;152393503;-;MIMAT0003882;hsa-miR-767-5p;5p;MI0003763
chrX;miRNA;152393447;152393469;-;MIMAT0003883;hsa-miR-767-3p;3p;MI0003763
chr3;miRNA;184241405;184241423;+;MIMAT0005458;hsa-miR-1224-5p;5p;MI0003764
chr3;miRNA;184241469;184241489;+;MIMAT0005459;hsa-miR-1224-3p;3p;MI0003764
chr14;miRNA;100109438;100109455;-;MIMAT0010214;hsa-miR-151b;1b;MI0003772
chr1;miRNA;116671787;116671808;+;MIMAT0005792;hsa-miR-320b;0b;MI0003776
chr18;miRNA;21683559;21683578;+;MIMAT0005793;hsa-miR-320c;0c;MI0003778
chr10;miRNA;63373012;63373033;-;MIMAT0005794;hsa-miR-1296-5p;5p;MI0003780
chr10;miRNA;63372969;63372990;-;MIMAT0026637;hsa-miR-1296-3p;3p;MI0003780
chrX;miRNA;63786055;63786075;-;MIMAT0006789;hsa-miR-1468-5p;5p;MI0003782
chrX;miRNA;63786012;63786033;-;MIMAT0026638;hsa-miR-1468-3p;3p;MI0003782
chr19;miRNA;53671978;53671999;+;MIMAT0005795;hsa-miR-1323;23;MI0003786
chr5;miRNA;176367960;176367981;+;MIMAT0005796;hsa-miR-1271-5p;5p;MI0003814
chr5;miRNA;176367996;176368017;+;MIMAT0022712;hsa-miR-1271-3p;3p;MI0003814
chr2;miRNA;25328651;25328674;-;MIMAT0005797;hsa-miR-1301-3p;3p;MI0003815
chr2;miRNA;25328689;25328707;-;MIMAT0026639;hsa-miR-1301-5p;5p;MI0003815
chr17;miRNA;59137828;59137849;-;MIMAT0003884;hsa-miR-454-5p;5p;MI0003820
chr17;miRNA;59137787;59137809;-;MIMAT0003885;hsa-miR-454-3p;3p;MI0003820
chr14;miRNA;101044212;101044232;+;MIMAT0005798_1;hsa-miR-1185-5p;5p;MI0003821
chr14;miRNA;101044250;101044271;+;MIMAT0022713;hsa-miR-1185-2-3p;3p;MI0003821
chr5;miRNA;55172313;55172337;-;MIMAT0010251;hsa-miR-449c-5p;5p;MI0003823
chr5;miRNA;55172275;55172297;-;MIMAT0013771;hsa-miR-449c-3p;3p;MI0003823
chr19;miRNA;53688494;53688515;+;MIMAT0005799;hsa-miR-1283;83;MI0003832
chr19;miRNA;46018961;46018982;+;MIMAT0003886;hsa-miR-769-5p;5p;MI0003834
chr19;miRNA;46019000;46019022;+;MIMAT0003887;hsa-miR-769-3p;3p;MI0003834
chrX;miRNA;119646763;119646784;-;MIMAT0003888;hsa-miR-766-3p;3p;MI0003836
chrX;miRNA;119646799;119646820;-;MIMAT0022714;hsa-miR-766-5p;5p;MI0003836
chr1;miRNA;224257049;224257070;-;MIMAT0005792_1;hsa-miR-320b;0b;MI0003839
chr8;miRNA;93916079;93916098;-;MIMAT0018926_1;hsa-miR-378d;8d;MI0003840
chr14;miRNA;101042991;101043011;+;MIMAT0005798;hsa-miR-1185-5p;5p;MI0003844
chr14;miRNA;101043029;101043050;+;MIMAT0022838;hsa-miR-1185-1-3p;3p;MI0003844
chr16;miRNA;30893951;30893972;+;MIMAT0010313;hsa-miR-762;62;MI0003892
chr21;miRNA;35720732;35720754;+;MIMAT0004185;hsa-miR-802;02;MI0003906
chr11;miRNA;43559675;43559694;+;MIMAT0010357;hsa-miR-670-5p;5p;MI0003933
chr11;miRNA;43559714;43559734;+;MIMAT0026640;hsa-miR-670-3p;3p;MI0003933
chrX;miRNA;114715250;114715271;+;MIMAT0005800;hsa-miR-1298-5p;5p;MI0003938
chrX;miRNA;114715304;114715324;+;MIMAT0026641;hsa-miR-1298-3p;3p;MI0003938
chr6;miRNA;98024586;98024606;+;MIMAT0009206;hsa-miR-2113;13;MI0003939
chr1;miRNA;51836375;51836396;-;MIMAT0010364;hsa-miR-761;61;MI0003941
chrX;miRNA;114639445;114639466;+;MIMAT0010367;hsa-miR-764;64;MI0003944
chr13;miRNA;52810073;52810094;+;MIMAT0010497;hsa-miR-759;59;MI0004065
chr1;miRNA;156936156;156936176;-;MIMAT0003945;hsa-miR-765;65;MI0005116
chr14;miRNA;100852409;100852431;+;MIMAT0003948;hsa-miR-770-5p;5p;MI0005118
chr11;miRNA;1996800;1996822;-;MIMAT0004284;hsa-miR-675-5p;5p;MI0005416
chr11;miRNA;1996768;1996787;-;MIMAT0006790;hsa-miR-675-3p;3p;MI0005416
chr20;miRNA;58818280;58818303;-;MIMAT0004901;hsa-miR-298;98;MI0005523
chrX;miRNA;146027841;146027862;-;MIMAT0004902;hsa-miR-891a-5p;5p;MI0005524
chrX;miRNA;146027804;146027825;-;MIMAT0026717;hsa-miR-891a-3p;3p;MI0005524
chr14;miRNA;101041414;101041435;+;MIMAT0004903;hsa-miR-300;00;MI0005525
chrX;miRNA;145996679;145996699;-;MIMAT0004907;hsa-miR-892a;2a;MI0005528
chrX;miRNA;147258775;147258796;-;MIMAT0002881;hsa-miR-509-3p;3p;MI0005530
chrX;miRNA;147258811;147258831;-;MIMAT0004779;hsa-miR-509-5p;5p;MI0005530
chrX;miRNA;134540231;134540252;-;MIMAT0004909;hsa-miR-450b-5p;5p;MI0005531
chrX;miRNA;134540194;134540215;-;MIMAT0004910;hsa-miR-450b-3p;3p;MI0005531
chr5;miRNA;137647582;137647603;-;MIMAT0004911;hsa-miR-874-3p;3p;MI0005532
chr5;miRNA;137647618;137647640;-;MIMAT0026718;hsa-miR-874-5p;5p;MI0005532
chrX;miRNA;145994321;145994341;-;MIMAT0004912;hsa-miR-890;90;MI0005533
chrX;miRNA;146001100;146001121;-;MIMAT0004913;hsa-miR-891b;1b;MI0005534
chrX;miRNA;145994830;145994850;-;MIMAT0004916;hsa-miR-888-5p;5p;MI0005537
chrX;miRNA;145994794;145994815;-;MIMAT0004917;hsa-miR-888-3p;3p;MI0005537
chrX;miRNA;145997208;145997229;-;MIMAT0004918;hsa-miR-892b;2b;MI0005538
chr14;miRNA;101064504;101064528;+;MIMAT0004919;hsa-miR-541-5p;5p;MI0005539
chr14;miRNA;101064548;101064569;+;MIMAT0004920;hsa-miR-541-3p;3p;MI0005539
chr14;miRNA;101047949;101047969;+;MIMAT0004921;hsa-miR-889-3p;3p;MI0005540
chr14;miRNA;101047911;101047932;+;MIMAT0026719;hsa-miR-889-5p;5p;MI0005540
chr8;miRNA;99536830;99536851;-;MIMAT0004922;hsa-miR-875-5p;5p;MI0005541
chr8;miRNA;99536797;99536817;-;MIMAT0004923;hsa-miR-875-3p;3p;MI0005541
chr9;miRNA;28863675;28863696;-;MIMAT0004924;hsa-miR-876-5p;5p;MI0005542
chr9;miRNA;28863636;28863657;-;MIMAT0004925;hsa-miR-876-3p;3p;MI0005542
chr11;miRNA;79402077;79402099;-;MIMAT0004926;hsa-miR-708-5p;5p;MI0005543
chr11;miRNA;79402032;79402053;-;MIMAT0004927;hsa-miR-708-3p;3p;MI0005543
chr15;miRNA;45433098;45433119;+;MIMAT0004928;hsa-miR-147b;7b;MI0005544
chr1;miRNA;154193713;154193733;-;MIMAT0004929;hsa-miR-190b;0b;MI0005545
chr17;miRNA;12081909;12081930;+;MIMAT0004945;hsa-miR-744-5p;5p;MI0005559
chr17;miRNA;12081966;12081987;+;MIMAT0004946;hsa-miR-744-3p;3p;MI0005559
chr3;miRNA;10394531;10394552;-;MIMAT0004947;hsa-miR-885-5p;5p;MI0005560
chr3;miRNA;10394499;10394520;-;MIMAT0004948;hsa-miR-885-3p;3p;MI0005560
chr6;miRNA;30584332;30584351;+;MIMAT0004949;hsa-miR-877-5p;5p;MI0005561
chr6;miRNA;30584397;30584417;+;MIMAT0004950;hsa-miR-877-3p;3p;MI0005561
chr5;miRNA;15935229;15935250;+;MIMAT0004951;hsa-miR-887-3p;3p;MI0005562
chr5;miRNA;15935191;15935211;+;MIMAT0026720;hsa-miR-887-5p;5p;MI0005562
chr14;miRNA;100875075;100875094;+;MIMAT0004952;hsa-miR-665;65;MI0005563
chr9;miRNA;28888925;28888945;-;MIMAT0004953;hsa-miR-873-5p;5p;MI0005564
chr9;miRNA;28888889;28888910;-;MIMAT0022717;hsa-miR-873-3p;3p;MI0005564
chr14;miRNA;101032033;101032054;+;MIMAT0004954;hsa-miR-543;43;MI0005565
chrX;miRNA;74218587;74218608;-;MIMAT0004955;hsa-miR-374b-5p;5p;MI0005566
chrX;miRNA;74218557;74218578;-;MIMAT0004956;hsa-miR-374b-3p;3p;MI0005566
chr1;miRNA;93846880;93846899;+;MIMAT0004957;hsa-miR-760;60;MI0005567
chr22;miRNA;21653025;21653047;+;MIMAT0004958;hsa-miR-301b-3p;3p;MI0005568
chr22;miRNA;21652990;21653011;+;MIMAT0032026;hsa-miR-301b-5p;5p;MI0005568
chr2;miRNA;56000764;56000785;-;MIMAT0004959;hsa-miR-216b-5p;5p;MI0005569
chr2;miRNA;56000724;56000747;-;MIMAT0026721;hsa-miR-216b-3p;3p;MI0005569
chr14;miRNA;23417997;23418018;-;MIMAT0004960;hsa-miR-208b-3p;3p;MI0005570
chr14;miRNA;23418032;23418053;-;MIMAT0026722;hsa-miR-208b-5p;5p;MI0005570
chr12;miRNA;24212471;24212490;+;MIMAT0004970;hsa-miR-920;20;MI0005712
chr1;miRNA;166154773;166154797;-;MIMAT0004971;hsa-miR-921;21;MI0005713
chr3;miRNA;197674498;197674520;-;MIMAT0004972;hsa-miR-922;22;MI0005714
chr18;miRNA;39622153;39622172;-;MIMAT0004974;hsa-miR-924;24;MI0005716
chrX;miRNA;147259662;147259683;-;MIMAT0002881_1;hsa-miR-509-3p;3p;MI0005717
chrX;miRNA;147259696;147259717;-;MIMAT0004975;hsa-miR-509-3-5p;5p;MI0005717
chr2;miRNA;175167642;175167663;-;MIMAT0004976;hsa-miR-933;33;MI0005755
chrX;miRNA;136550892;136550913;+;MIMAT0004977;hsa-miR-934;34;MI0005756
chr19;miRNA;53982362;53982384;+;MIMAT0004978;hsa-miR-935;35;MI0005757
chr10;miRNA;104048151;104048172;-;MIMAT0004979;hsa-miR-936;36;MI0005758
chr8;miRNA;143812971;143812992;-;MIMAT0004980;hsa-miR-937-3p;3p;MI0005759
chr8;miRNA;143813010;143813029;-;MIMAT0022938;hsa-miR-937-5p;5p;MI0005759
chr10;miRNA;29602311;29602332;-;MIMAT0004981;hsa-miR-938;38;MI0005760
chr8;miRNA;144394193;144394216;-;MIMAT0004982;hsa-miR-939-5p;5p;MI0005761
chr8;miRNA;144394161;144394181;-;MIMAT0022939;hsa-miR-939-3p;3p;MI0005761
chr16;miRNA;2271806;2271826;+;MIMAT0004983;hsa-miR-940;40;MI0005762
chr20;miRNA;63919495;63919517;+;MIMAT0004984;hsa-miR-941;41;MI0005763
chr20;miRNA;63919551;63919573;+;MIMAT0004984_1;hsa-miR-941;41;MI0005764
chr20;miRNA;63919607;63919629;+;MIMAT0004984_2;hsa-miR-941;41;MI0005765
chr20;miRNA;63919802;63919824;+;MIMAT0004984_3;hsa-miR-941;41;MI0005766
chr1;miRNA;117094655;117094676;+;MIMAT0004985;hsa-miR-942-5p;5p;MI0005767
chr1;miRNA;117094695;117094716;+;MIMAT0026734;hsa-miR-942-3p;3p;MI0005767
chr4;miRNA;1986403;1986423;-;MIMAT0004986;hsa-miR-943;43;MI0005768
chr3;miRNA;189829975;189829996;+;MIMAT0004987;hsa-miR-944;44;MI0005769
chr4;miRNA;110860624;110860644;-;MIMAT0004450;hsa-miR-297;97;MI0005775
chr12;miRNA;119713649;119713669;-;MIMAT0005823;hsa-miR-1178-3p;3p;MI0006271
chr12;miRNA;119713678;119713695;-;MIMAT0022940;hsa-miR-1178-5p;5p;MI0006271
chr15;miRNA;88608121;88608141;+;MIMAT0005824;hsa-miR-1179;79;MI0006272
chr17;miRNA;19344513;19344534;-;MIMAT0005825;hsa-miR-1180-3p;3p;MI0006273
chr17;miRNA;19344548;19344568;-;MIMAT0026735;hsa-miR-1180-5p;5p;MI0006273
chr19;miRNA;10403505;10403525;-;MIMAT0005826;hsa-miR-1181;81;MI0006274
chr1;miRNA;231019841;231019863;-;MIMAT0005827;hsa-miR-1182;82;MI0006275
chr7;miRNA;21471105;21471131;+;MIMAT0005828;hsa-miR-1183;83;MI0006276
chrX;miRNA;154887376;154887398;-;MIMAT0005829;hsa-miR-1184;84;MI0006277
chr16;miRNA;2090263;2090284;-;MIMAT0005572;hsa-miR-1225-5p;5p;MI0006311
chr16;miRNA;2090195;2090216;-;MIMAT0005573;hsa-miR-1225-3p;3p;MI0006311
chr3;miRNA;47849555;47849580;+;MIMAT0005576;hsa-miR-1226-5p;5p;MI0006313
chr3;miRNA;47849608;47849629;+;MIMAT0005577;hsa-miR-1226-3p;3p;MI0006313
chr19;miRNA;2234062;2234081;-;MIMAT0005580;hsa-miR-1227-3p;3p;MI0006316
chr19;miRNA;2234133;2234149;-;MIMAT0022941;hsa-miR-1227-5p;5p;MI0006316
chr12;miRNA;57194504;57194524;+;MIMAT0005582;hsa-miR-1228-5p;5p;MI0006318
chr12;miRNA;57194555;57194574;+;MIMAT0005583;hsa-miR-1228-3p;3p;MI0006318
chr5;miRNA;179798278;179798300;-;MIMAT0005584;hsa-miR-1229-3p;3p;MI0006319
chr5;miRNA;179798323;179798346;-;MIMAT0022942;hsa-miR-1229-5p;5p;MI0006319
chr1;miRNA;201808615;201808634;+;MIMAT0005586;hsa-miR-1231;31;MI0006321
chr15;miRNA;34382069;34382088;-;MIMAT0005588;hsa-miR-1233-3p;3p;MI0006323
chr15;miRNA;34382126;34382147;-;MIMAT0022943;hsa-miR-1233-5p;5p;MI0006323
chr8;miRNA;144400088;144400109;-;MIMAT0005589;hsa-miR-1234-3p;3p;MI0006324
chr6;miRNA;31956839;31956860;-;MIMAT0005591;hsa-miR-1236-3p;3p;MI0006326
chr6;miRNA;31956918;31956939;-;MIMAT0022945;hsa-miR-1236-5p;5p;MI0006326
chr11;miRNA;64368683;64368703;+;MIMAT0005592;hsa-miR-1237-3p;3p;MI0006327
chr11;miRNA;64368651;64368671;+;MIMAT0022946;hsa-miR-1237-5p;5p;MI0006327
chr19;miRNA;10552183;10552202;+;MIMAT0005593;hsa-miR-1238-3p;3p;MI0006328
chr19;miRNA;10552122;10552144;+;MIMAT0022947;hsa-miR-1238-5p;5p;MI0006328
chr7;miRNA;36919403;36919424;-;MIMAT0005863;hsa-miR-1200;00;MI0006332
chr6;miRNA;155946809;155946829;+;MIMAT0005865;hsa-miR-1202;02;MI0006334
chr17;miRNA;48156486;48156506;-;MIMAT0005866;hsa-miR-1203;03;MI0006335
chr2;miRNA;132256970;132256991;-;MIMAT0005867;hsa-miR-663b;3b;MI0006336
chr8;miRNA;127795965;127795985;+;MIMAT0005868;hsa-miR-1204;04;MI0006337
chr8;miRNA;127960640;127960659;+;MIMAT0005869;hsa-miR-1205;05;MI0006338
chr8;miRNA;128008901;128008921;+;MIMAT0005870;hsa-miR-1206;06;MI0006339
chr8;miRNA;128049159;128049179;+;MIMAT0005871;hsa-miR-1207-5p;5p;MI0006340
chr8;miRNA;128049203;128049220;+;MIMAT0005872;hsa-miR-1207-3p;3p;MI0006340
chr8;miRNA;128150127;128150146;+;MIMAT0005873;hsa-miR-1208;08;MI0006341
chr10;miRNA;110988978;110988999;+;MIMAT0005874;hsa-miR-548e-3p;3p;MI0006344
chr10;miRNA;110988940;110988961;+;MIMAT0026736;hsa-miR-548e-5p;5p;MI0006344
chr22;miRNA;26555274;26555295;-;MIMAT0005875;hsa-miR-548j-5p;5p;MI0006345
chr22;miRNA;26555239;26555259;-;MIMAT0026737;hsa-miR-548j-3p;3p;MI0006345
chr7;miRNA;92204027;92204048;-;MIMAT0005876_1;hsa-miR-1285-3p;3p;MI0006346
chr7;miRNA;92204067;92204087;-;MIMAT0022719;hsa-miR-1285-5p;5p;MI0006346
chr2;miRNA;70252933;70252954;-;MIMAT0005876;hsa-miR-1285-3p;3p;MI0006347
chr22;miRNA;20249145;20249165;-;MIMAT0005877;hsa-miR-1286;86;MI0006348
chr10;miRNA;98395271;98395292;-;MIMAT0005878;hsa-miR-1287-5p;5p;MI0006349
chr10;miRNA;98395232;98395253;-;MIMAT0026738;hsa-miR-1287-3p;3p;MI0006349
chr20;miRNA;35453990;35454012;-;MIMAT0005879;hsa-miR-1289;89;MI0006350
chr5;miRNA;133427615;133427637;-;MIMAT0005879_1;hsa-miR-1289;89;MI0006351
chr1;miRNA;18897078;18897096;-;MIMAT0005880;hsa-miR-1290;90;MI0006352
chr12;miRNA;48654494;48654517;-;MIMAT0005881;hsa-miR-1291;91;MI0006353
chr11;miRNA;70283986;70284007;+;MIMAT0005882;hsa-miR-548k;8k;MI0006354
chr12;miRNA;50234182;50234203;-;MIMAT0005883;hsa-miR-1293;93;MI0006355
chr5;miRNA;154347153;154347174;+;MIMAT0005884;hsa-miR-1294;94;MI0006356
chr1;miRNA;171101738;171101758;-;MIMAT0005885;hsa-miR-1295a;5a;MI0006357
chr13;miRNA;54311981;54311997;-;MIMAT0005886;hsa-miR-1297;97;MI0006358
chr9;miRNA;40929010;40929031;-;MIMAT0005887;hsa-miR-1299;99;MI0006359
chr11;miRNA;94466545;94466566;-;MIMAT0005889;hsa-miR-548l;8l;MI0006361
chr12;miRNA;112695082;112695102;-;MIMAT0005890_1;hsa-miR-1302;02;MI0006362
chr1;miRNA;30438;30458;+;MIMAT0005890;hsa-miR-1302;02;MI0006363
chr2;miRNA;113583004;113583024;-;MIMAT0005890_4;hsa-miR-1302;02;MI0006364
chr2;miRNA;207269328;207269348;-;MIMAT0005890_5;hsa-miR-1302;02;MI0006365
chr20;miRNA;50614689;50614709;-;MIMAT0005890_6;hsa-miR-1302;02;MI0006366
chr7;miRNA;18127234;18127254;-;MIMAT0005890_7;hsa-miR-1302;02;MI0006367
chr8;miRNA;141786255;141786275;-;MIMAT0005890_8;hsa-miR-1302;02;MI0006368
chr9;miRNA;97363596;97363616;-;MIMAT0005890_10;hsa-miR-1302;02;MI0006369
chr5;miRNA;154685827;154685848;+;MIMAT0005891;hsa-miR-1303;03;MI0006370
chr11;miRNA;93733724;93733745;-;MIMAT0005892;hsa-miR-1304-5p;5p;MI0006371
chr11;miRNA;93733691;93733712;-;MIMAT0022720;hsa-miR-1304-3p;3p;MI0006371
chr4;miRNA;182169343;182169364;+;MIMAT0005893;hsa-miR-1305;05;MI0006372
chr4;miRNA;113106867;113106888;+;MIMAT0005894;hsa-miR-1243;43;MI0006373
chr10;miRNA;54607889;54607907;-;MIMAT0005895;hsa-miR-548f-3p;3p;MI0006374
chr10;miRNA;54607926;54607947;-;MIMAT0026739;hsa-miR-548f-5p;5p;MI0006374
chr2;miRNA;212426284;212426302;-;MIMAT0005895_1;hsa-miR-548f-3p;3p;MI0006375
chr5;miRNA;110513844;110513862;-;MIMAT0005895_2;hsa-miR-548f-3p;3p;MI0006376
chr7;miRNA;147378041;147378059;-;MIMAT0005895_3;hsa-miR-548f-3p;3p;MI0006377
chrX;miRNA;32641490;32641508;-;MIMAT0005895_4;hsa-miR-548f-3p;3p;MI0006378
chr2;miRNA;231713368;231713393;+;MIMAT0005896_2;hsa-miR-1244;44;MI0006379
chr2;miRNA;188978136;188978156;+;MIMAT0005897;hsa-miR-1245a;5a;MI0006380
chr2;miRNA;176601024;176601042;-;MIMAT0005898;hsa-miR-1246;46;MI0006381
chr14;miRNA;101560362;101560383;-;MIMAT0005899;hsa-miR-1247-5p;5p;MI0006382
chr14;miRNA;101560326;101560349;-;MIMAT0022721;hsa-miR-1247-3p;3p;MI0006382
chr3;miRNA;186786675;186786701;+;MIMAT0005900;hsa-miR-1248;48;MI0006383
chr22;miRNA;45200958;45200979;-;MIMAT0005901;hsa-miR-1249-3p;3p;MI0006384
chr22;miRNA;45200993;45201016;-;MIMAT0032029;hsa-miR-1249-5p;5p;MI0006384
chr17;miRNA;81133265;81133285;-;MIMAT0005902;hsa-miR-1250-5p;5p;MI0006385
chr17;miRNA;81133228;81133246;-;MIMAT0026740;hsa-miR-1250-3p;3p;MI0006385
chr12;miRNA;97491913;97491933;+;MIMAT0005903;hsa-miR-1251-5p;5p;MI0006386
chr12;miRNA;97491951;97491971;+;MIMAT0026741;hsa-miR-1251-3p;3p;MI0006386
chr17;miRNA;2748139;2748159;-;MIMAT0005904;hsa-miR-1253;53;MI0006387
chr10;miRNA;68759335;68759358;+;MIMAT0005905_1;hsa-miR-1254;54;MI0006388
chr4;miRNA;101330365;101330387;-;MIMAT0005906;hsa-miR-1255a;5a;MI0006389
chr1;miRNA;20988377;20988398;-;MIMAT0005907;hsa-miR-1256;56;MI0006390
chr20;miRNA;61953621;61953641;-;MIMAT0005908;hsa-miR-1257;57;MI0006391
chr2;miRNA;179860845;179860865;-;MIMAT0005909;hsa-miR-1258;58;MI0006392
chr14;miRNA;77266231;77266248;+;MIMAT0005911;hsa-miR-1260a;0a;MI0006394
chr4;miRNA;147344643;147344664;-;MIMAT0005912;hsa-miR-548g-3p;3p;MI0006395
chr4;miRNA;147344681;147344703;-;MIMAT0022722;hsa-miR-548g-5p;5p;MI0006395
chr11;miRNA;90869180;90869198;-;MIMAT0005913;hsa-miR-1261;61;MI0006396
